example_portuguese_sentence,example_libras_sentence
no verão eu transpiro muito e tomo banho quatro vezes por dia.,verão eu transpirarmuito eu pordia tomarbanho 4vez.
ajudei o vizinho transportando a geladeira e o fogão.,eu ajudar vizinho transportar geladeira fogão.
em qual transporte você veio?,você vir carro^ônibus^vários qual?
o trapézio do circo está alto e tenho temor.,circo trapézio alto eu temor.
você tem medo do cachorro bravo? é melhor você ficar trás de mim.,você medo cachorro bravo? melhor você trás eu.
ontem você bateu o carro? pela dianteira ou pela traseira?,ontem você carro bater? bater veículodianteiro veículotraseiro qual?
a mulher brasileira tem um traseiro volumoso.,mulher brasil traseirovolumoso.
você já tratou bem da saúde da sua mãe?,você já tratar bem seo mãe saúde?
"o aluguel de trator é muito caro, não tenho dinheiro.",aluguel trator caromuito eu ternão dinheiro.
"eu não gosto de moto. tenho trauma, porque já caí de uma.",eu gostarnão moto eu passado trauma moto veículocair já.
"ela não quer mais dirigir, porque bateu o carro e quase morreu; traumatizou-se e ficou com medo.",elo dirigir querernão medo elo traumatizar quase morrer veículocolidir.
preciso trocar a trave de futebol de campo: está torta.,futsal trave torto precisar trocar.
"não gosto de travesseiro duro, prefiro o macio.",travesseiro duro gostarnão eu preferir macio.
"espere, minha irmã vai trazer cachorro-quente para nós comermos.",esperar pouco meo irmo trazer cachorroquente nósdois comer.
"li, ontem, no jornal, que a seleção brasileira precisa urgente de treinador até fevereiro.",ontem jornal ler brasil precisar urgente procurar treinador até fevereiro.
preciso marcar o dia para o treinamento de vôlei.,vôlei treinamento eu precisar marcar dia.
tem campeonato de futsal no próximo sábado mas antes eu preciso treinar.,ter campeonato futsal sábado agora eu precisar antes treinar.
todo dia eu pego o trem e chego à casa rápido.,eu tododia trem chegar casa rápido.
"eu viajei para o canadá no ano passado, mas sofri, lá é muito frio, tremi muito.",anopassado eu viajar canadá lá muito frio eu tremer sofrer.
"à noite, fui no cemitério e tremi de medo.",noite eu ir cemitério eu medo tremer.
???,mês passado casa tio lá neve eu frio^tremer.
ontem vi um tubarão na praia e tremulei de medo.,ontem praia eu ver tubarão eu medo tremular.
"quando era pequeno, eu sempre trepava na árvore para pegar manga.",antes eu pequeno eu sempre árvore treparárvore manga pegar.
"no sábado passado choveu e ventou muito, as árvores trepidaram. tive medo, foi horrível.",sábado passado chovermuito ventarmuito trepidarárvore eu medo horrível.
"eu tive diarréia, porque comi três barras de chocolate.",ontem eu diarréia porcausa comer três chocolate barra.
não quero jogar futebol com a camisa número três.,eu querernão jogarfutebol camisa três.
"na roça, a rua é de trevas e não há luz, sinto medo.",roça rua trevas ternão luz eu medo.
vi na loja uma bicicleta no valor de trezentos reais.,ontem ver loja bicicleta valor trezentos.
"em goiás visitei uma tribo, foi legal.",goiás eu visitar tribo legal.
"hoje, chegou à minha casa uma carta, dizendo que preciso ir ao tribunal.",hoje carta eu ler dizer eu precisar ir tribunal.
o vasco foi tricampeão no ano passado.,vasco anopassado tricampeão.
vi uma moto triciclo pela primeira vez em são paulo.,eu ver primeiravez sãopaulo lá moto triciclo.
"minha avó tricota todos os dias, à noite.",meo vovó tododia noite tricotar.
no carnaval vou me fantasiar de diabo com um tridente de plástico.,carnaval eu fantasiar diabo tridente plástico.
eu sempre freqüento a ginecologia no triênio.,ginecologia eu frequentar sempre triênio.
já fiz a ultra-sonografia e descobri que meus filhos são trigêmeos.,eu já ultrasonografia descobrir filho trigêmeos.
o grupo de pesquisa de libras sempre reuniões trimensais.,grupo pesquisa libras sempre reunião trimensal.
o curso de libras sempre tem prova nos trimestres.,curso libras prova sempre trimestre.
o espelho do banheiro está feio e tem uma trinca que atrapalha a visão.,banheiro espelho feio trinca visão atrapalhar.
só tem trinta vagas no curso de informática.,curso informática vaga só 30.
o rio de janeiro tem mais ou menos trinta e três intérpretes.,intéprete aqui rio ter maisoumenos 33.
na escola tem um trio de surdos que conseguiu a verba para a pesquisa de livros em libras.,escola surdo trio conseguir verba pesquisa libras livro.
"detesto a tripa de porco, tenho nojo.",detestar porco tripa nojo.
"o tripé da filmadora está ruim e com defeito, precisa comprar um novo.",filmadora tripé ruim defeito precisar comprar novo.
o trocador do ônibus é meu amigo.,ônibus aquelo trocador meo amigo.
eu vou trocar o telefone celular por outro melhor.,vou celular trocar outro melhor.
eu vou trocar os óculos por outros novos.,eu óculos trocar outro novo.
o supermercado deu o troco errado e eu reclamei.,supermercado troco errado eu reclamar.
eu ganhei um troféu no campeonato de natação.,natação campeonato eu ganhar troféu.
"pela primeira vez, eu toquei a tromba de um elefante.",eu primeiravez elefante tromba tocar já.
"meu filho quer uma trombeta, não dá para eu comprar, pois é muito cara.",meo filho querer trombeta eu comprar darnão caromuito.
"a madeira do tronco de uma árvore é importante para fazer muitas coisas, como mesas, armários, etc.",madeira^coisaredondagrosso importante fazer coisas mesa armário etc.
gosto de olhar e acho bonito um cavalo trotando.,eu gostar observar cavalo trotar bonito.
"ontem choveu muito, teve relâmpago e trovões, fiquei com medo.",ontem chovermuito trovão relâmpago eu medo.
tsc...tsc... você tem medo da mulher!,tsc...tsc... você medo barata?
em recife há muito tubarão e as as pessoas que mergulham na praia têm medo.,lá recife tubarão muito pessoa praia mergulhar temer.
meu primo está com tuberculose.,meo primo doente tuberculose.
o tubo de água na minha casa está com problema e preciso chamar um homem para consertar.,casa tubo água problema precisar chamar homem consertar.
o brasil tem muitos tucanos lindos.,brasil aqui tucano lindo.
tudo bem! você chegou bem da viagem?,tudobem! você viagem chegar bem?
eu gosto de comer tudo.,eu gostar comer tudo.
"vendi tudo da minha loja, ganhei muito dinheiro.",loja eu vender tudo ganhar dinheiro.
eu quero comprar todas as laranjas.,laranja eu querer comprar tudo.
"o tufão é perigoso, destrói a cidade.",tufão perigoso cidade destruir.
houve um tumulto horrível e brigas na boate.,ontem boate horrível tumulto briga.
"a turma do ano passado era ótima, mas a atual é horrível e bagunceira.",anopassado turma ótimo ano atual horrível bagunceiro.
"a turquia jogou bem no futebol, mas o brasil foi mais forte.",futebol turquia jogar bem mas brasil forte.
"viajar na chuva é ruim, a vista é turva e perigosa.",chuva viajar ruim vista turva perigoso.
adoro uma fruta que começa com a letra u.,adorar fruta começar letra u.
uau! que carro lindo e luxo!,uau! carro lindo luxo!
ufa! eu quase me afoguei na praia!,ufa! eu quase praia afogar!
a escócia é famosa pela produção de uísque.,escócia famoso produzir uísque.
"ele ultrajou o deputado, chamando-o de ladrão.",elo ultrajar deputado elo dizer ladrão.
"sua roupa está ultrapassada, você precisa comprar uma nova, na moda.",roupa seo ultrapassado precisar comprar novo moda.
"em um carro rápido, ultrapassei o ônibus que andava devagar.",ônibus veículomover devagar eu carro rápido veículoultrapassarveículo.
a médica me mandou fazer a ultrasonografia sempre no sábado.,médico 3smandar1s eu sempre ir ultrasonografia só sábado.
nunca vi um ônibus com número 1.,nunca ver ônibus número 1.
"no futuro, quando eu casar, só quero ter um filho.",futuro eu casar eu querer filho 1 só.
aqui no brasil se pratica muito a umbanda.,brasil aqui umbanda muito.
meu filho tem um umbigo bonito.,meo filho umbigo bonito.
"primeiro tem que umedecer a camiseta, depois passar com o ferro elétrico.",primeiro camiseta antes água umedecer depois passarferroelétrico.
"em brasília não tem umidade, lá é muito seco.",brasília ternão água umidade lá secomuito.
a diretoria tomou a decisão unânime de fechar a escola para reforma.,diretoria opinião unânime decidir fechar escola reforma.
há pessoas que não acham a unção importante.,pessoa achar unção importante não.
"a mulher se preocupa sempre, não quer que a unha quebre.",mulher preocupar sempre unha querernão quebrar.
"você é unhas-de-fome, não dá comida para a criança pobre.",você unhasdefome darnão comida criança pobre.
"a união dos surdos é importante, para que no futuro a comunidade surda fique forte.",surdo agora união importante comunidade surdo futuro forte.
"li, no livro, uma história interessante sobre o unicórnio.",livro eu ler história cavalo^chifretesta boo interessante.
você sabe quanto cussta um pacote de leite de uma caixa com 12 unidades?,você saber leite caixa quantidade 12 quantocustar unidade ?
os surdos precisam se unificar na associação para se fortalecer.,surdo associação precisar unificar fortalecer.
"no colégio, é obrigatório o uso de uniforme pelos alunos.",colégio aluno uniforme obrigatório.
"ele é unigênito, não tem irmãos.",elo filho único ternão irmo.
"você precisa se unir com o seu amigo, é importante que vocês dois ajudem os surdos.",você amigo precisar unir vocês2 importante ajudar surdo.
eu quero saber o valor unitário da cerveja.,cerveja eu querer saber valor cada um.
a língua de sinais não é universal; cada país tem a sua.,línguadesinais universal nãoé país cada línguadesinais próprio.
estudo na universidade que fica perto da praia.,eu estudar universidade perto praia.
eu gosto de ciências e do estudo do universo.,eu gostar ciências estudar universo.
"depois de terminar de fazer bolo, unte o tabuleiro com a manteiga.",bolo fazer terminar depois manteiga untar forma.
"a prefeitura autorizou primeiro a obra na zona urbana, depois na zona rural.",prefeitura autorizar obra primeiro urbano depois interior.
"preciso ir ao médico, urgente!",precisar ir médico urgente!
"se a sua urina estiver na cor amarelo-escuro, você precisa ir ao médico com urgência.",si você urina cor amareloescuro você precisar médico urgente.
você primeiro escreve no papel e depois coloca na urna.,primeiro você papel escrever depois quadrado^votar urna.
"acabaram as urnas para colocar o papel, agora surgiu a nova urna eletrônica.",papel votar acabar agora surgir novo votar digital.
no zoológico de santa catarina não há ursos.,lá santacatarina zoo ternão urso.
"que urso bonito, eu gostei dele, é tão fofo!",urso bonito eu gostar elo fofo!
os urubus sempre procuram os animais mortos para comer.,^nariztorto^pássaro^lixo sempre procurar comer animal morto.
no uruguai há muitos vinhos deliciosos.,lá uruguai vinho deliciosomuito.
"evite comprar carro usado, é melhor comprar um zero quilômetro, sem problemas.",evitar comprar carro usado melhor comprar zeroquilometro problema nenhumo.
no rio grande do sul há muita uva.,lá riograndedosul uva muito.
sempre os candidatos fazer o sinal v com as mãos depois que votam.,sempre depois votar candidato mostrarv.
ontem meu primo arrematou quarenta vacas holandesas no leilão.,ontem primo meo 40 vaca holanda arrematar já.
este barco está vacilando. é perigoso.,esto barco vacilar perigoso.
"a vacina contra gripe, os velhos podem tomá-la de graça..","gripe vacina, velho poder tomarvacina grátis."
o veterinário vai vacinar meu cachorro contra raiva.,cachorro meo vacinar contra raiva.
o pediatra vacinou meu bebê contra pólio.,bebê meo vacinar já contra pólio.
"os meninos não vão estudar, hoje, na escola, vão vadiar na rua.",hoje menino estudarnão vadiar rua.
aquelo moço vadio está sempre perto de minha casa.,aquelo jovem vadio sempre perto casa meo.
"não consegui estacionar, não tinha vaga.",difícil estacionar ternão vaga.
"na fazenda tem muitos vaga-lumes, eu vejo todos os dias.",fazenda ter muito inseto^vagalume ver todo dia.
"ele é vagabundo, não gosta de trabalhar.","elo vagabundo, gostarnão trabalhar."
aquele trem tem vagão-dormitório e restaurante de luxo.,trem aquele veículoenfileiradotrem dormir restaurante luxo ter.
minha filha não gosta de vagem.,filho meo gostarnão vagem.
você gosta de vagem? quer comer?,vagem você gostar? querer comer?
"tenho muita coceira na vagina, preciso ir ao médico.",vagina coceiraamuito eu precisar ir médico.
"tenho muita coceira na vagina, está inchada.",vagina meo coceiramuito inchado.
"não gosto dessa empregada, ela é muito vagarosa.","gostarnão empregado, elo vagarosomuito."
"o fluminense perdeu e a torcida vaiou, com raiva.",fluminense perder torcida raiva vaiar.
"ela sempre tem roupas novas, é vaidosa.",elo sempre roupa novo vaidoso.
"ele é vaidoso, sempre pensa que está certo.","elo vaidoso, sempre pensar certo."
há um vaivém de pessoas nos corredores da escola.,escola corredor sempre pessoa vaivém+.
há uma vala ao lado da minha casa.,casa meo ser vala lado.
o meu amigo aceita um vale para poder comprar e depois pague com ele.,amigo meo aceitar provisório^dinheiro poder comprar depois pagar elo.
